id,code,name,definition,level,contains_id/id,value_set_ids/id,country_ids/id,source_id/id,system
race_192,1156-9,"Clifton Choctaw",,,race_191,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_193,1157-7,"Jena Choctaw",,,race_191,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_194,1158-5,"Mississippi Choctaw",,,race_191,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_195,1159-3,"Mowa Band of Choctaw",,,race_191,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_196,1160-1,"Oklahoma Choctaw",,,race_191,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_197,1162-7,"Chumash",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_198,1163-5,"Santa Ynez",,,race_197,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_199,1165-0,"Clear Lake",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_200,1167-6,"Coeur D'Alene",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_201,1169-2,"Coharie",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_202,1171-8,"Colorado River",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_203,1173-4,"Colville",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_204,1175-9,"Comanche",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_205,1176-7,"Oklahoma Comanche",,,race_204,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_206,1178-3,"Coos, Lower Umpqua, Siuslaw",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_207,1180-9,"Coos",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_208,1182-5,"Coquilles",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_209,1184-1,"Costanoan",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_210,1186-6,"Coushatta",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_211,1187-4,"Alabama Coushatta",,,race_210,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_212,1189-0,"Cowlitz",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_213,1191-6,"Cree",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_214,1193-2,"Creek",,,race_2,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_215,1194-0,"Alabama Creek",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_216,1195-7,"Alabama Quassarte",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_217,1196-5,"Eastern Creek",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_218,1197-3,"Eastern Muscogee",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_219,1198-1,"Kialegee",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_220,1199-9,"Lower Muscogee",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_221,1200-5,"Machis Lower Creek Indian",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_222,1201-3,"Poarch Band",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
race_223,1202-1,"Principal Creek Indian Nation",,,race_214,race_value_set_1,base.us,base.hl7v3,http://hl7.org/fhir/v3/Race
